product_name,price,original_price,discount,category
"Coosybo 13 Inch Laptop Sleeve, Hand Bag Nylon Pouch Case For Macbook Air 13.3 Lenovo Laptop All Notebook","KSh 1,619","KSh 3,238",50%,computing
"HP Elitebook 2560P, 2570P, 2540P, 8440P, 8460P, 8470P Charger - Complete With Power Cable","KSh 1,099","KSh 1,380",20%,computing
"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 500HDD, Black- 12.5""","KSh 17,999","KSh 29,999",40%,computing
Acer Laptop AC Adapter Charger 19V 3.42A,KSh 969,"KSh 1,900",49%,computing
"HP EliteDisplay E242 24"" 16:10 IPS FHD Monitor - Refurbished","KSh 14,999","KSh 20,999",29%,computing
Lenovo Refurbished Thinkpad X240 Intel Core I5 8GB RAM 500GB HDD 12.5'' Black,"KSh 16,499","KSh 22,000",25%,computing
Sandisk Ultra High Speed Micro SD Memory Card-64GB,"KSh 1,699","KSh 2,500",32%,computing
Gordak SMD Hot Air Soldering Iron Rework Station,"KSh 7,900","KSh 15,000",47%,computing
DELL Inspiron 17R N7110 N5110 1720 1537 1564 N4110 3721 6000 6400 Laptop Charger Complete With Cable,"KSh 1,025","KSh 1,700",40%,computing
"Toshiba Toshiba, Smart 64 GB Flash Disk , Metallic",KSh 850,"KSh 1,299",35%,computing
"HP Refurbished EliteBook 840 G2 5TH GEN , Core I5, 1TB HDD, 8GB RAM, Touchscreen, 14"" Black (6 Months WRTY)","KSh 24,999","KSh 35,000",29%,computing
HP V250W 32GB Flash Disk With Clip+ Smartwatch +OTG Cable,"KSh 1,180","KSh 1,400",16%,computing
"HP Scan,Print,Photo Copy With DeskJet 2710 Wireless","KSh 13,000","KSh 14,000",7%,computing
"HP EliteBook 820 G3 Intel Core I5 16GB-512GB SSD 6th Gen Refurbished  Silver-12.6"", 6 Months WRTY","KSh 27,700","KSh 50,000",45%,computing
USB 2.0 To SATA Adapter Converter Cable 22Pin Drive Free,KSh 310,KSh 586,47%,computing
"HP Elitebook 840 G5 Core I7 16gb  RAM, 512gb 8th Generation Refurbished Windows 10, 6 Months WRTY","KSh 57,100","KSh 59,000",3%,computing
Bebe KIDS STUDY TABLET 128GB/4GB WITH SIMCARD SLOT,"KSh 8,499","KSh 9,999",15%,computing
Darkhorsir Rechargeable 2.4G+ Bluetooth Wireless Mouse Mice B With Free Mouse Pad,KSh 638,KSh 999,36%,computing
Wireless Mini Keyboard With Mouse Touchpad And Back-light For Android Box Smart TV Laptop - Black,"KSh 1,097","KSh 2,000",45%,computing
Double Windows TYPE C MULTI-FUNCTION  LAN ADAPTER,"KSh 1,499","KSh 1,899",21%,computing
SSK Usb 3.0 SCRM330 SD/TF/CF Micro Sd Card Reader,"KSh 1,999","KSh 4,000",50%,computing
TYPE C HUB WITH 3.0 USB PORTS AND ETHERNET PORT,"KSh 1,696","KSh 2,500",32%,computing
Liquid Scratch Remover Car Scratch Remover Paste Auto Polishing Abrasive,KSh 310,KSh 620,50%,computing
1TB USB3.0 High-speed Portable Hard Disk 2.5 Inch SATA,"KSh 4,400","KSh 8,800",50%,computing
USB 3.0 SPEED TO RJ 45 ETHERNET ADAPTER 10/100/1000 MBPS GIGABIT,KSh 929,"KSh 1,800",48%,computing
"HP Laptop Charger For Elite Book 9470M, 9480M","KSh 1,149","KSh 2,200",48%,computing
"Customized Motivational ""Chair Spins"" Mouse Pad",KSh 450,KSh 599,25%,computing
Desktop PC Case DC 12V 0.16A 60mm 2 Pin Cooler Cooling Fan,KSh 303,KSh 600,50%,computing
Laptop Sleeve 13/13.3/13.6 Inches,KSh 618,"KSh 1,000",38%,computing
Acer REFURBISHED LCD MONITOR 24 WIDE COMPLET WITH VGA,"KSh 6,500","KSh 7,900",18%,computing
Antitheft Laptop Bag 3 IN 1,"KSh 1,649","KSh 2,500",34%,computing
HP 85A Black LaserJet Toner Cartridge (CE285A),"KSh 2,090","KSh 3,700",44%,computing
"Advance BEST USB FlashDrive Disk 64GB // 64 GB For Laptop , Desktop + OTG Cable Type C",KSh 850,"KSh 1,600",47%,computing
Windows 10 System Tablet  PC  Windows 10 Laptop 2GB RAM 16GB Or 64GB ROM,"KSh 6,999","KSh 12,999",46%,computing
HP Original High Speed USB Flash Drive Disk 4GB // 4 GB + Free OTG Cable,KSh 500,"KSh 1,000",50%,computing
Huawei JTL Faiba 4G Mifi Portable Wifi,"KSh 6,898","KSh 6,995",1%,computing
Laptop Skins/Stickers-Wraps - Stickers Universal,"KSh 699 - KSh 1,500","KSh 1,000 - KSh 2,000",30%,computing
"HP Elitebook 8440P, 8460P, 8470P Charger Complete With Power Cable","KSh 1,044","KSh 1,800",42%,computing
HP REFURBISHED 820 G3 CORE I5 8GB 256SSD (6 Months WRTY),"KSh 23,999","KSh 30,000",20%,computing
TP Link 8 Port 10/100Mbps Desktop Ethernet Switch,"KSh 1,499","KSh 2,700",44%,computing
Wireless Keyboard & Mouse Combo FOR PC & Smart TV,"KSh 1,247","KSh 2,400",48%,computing
Display Port To HDMI Converter Adapter,KSh 900,"KSh 1,600",44%,computing
High Speed USB to USB Extension Adapter Cable  3M,KSh 399,KSh 700,43%,computing
Toshiba 1TB Portable Hard Drive - Black (1000GB USB 3.0 External Hard Disk,"KSh 6,999","KSh 10,000",30%,computing
"HP EliteBook 830 G7 X360 Core I5 10th Gen 16GB 512GB SSD 13.3"" Touchscreen-Silver-win 11","KSh 49,999","KSh 55,000",9%,computing
Adjustable Foldable Laptop Stand Tablet Stand Portable-BLACK,KSh 713,"KSh 1,000",29%,computing
"USB RJ45 Console Cable 6ft FTDI Windows 8, 7, Vista, MAC",KSh 550,"KSh 1,000",45%,computing
Barksdale USB 3.0 Micro External HDD Hard Drive Disk Cable,KSh 265,KSh 339,22%,computing
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 4GB RAM, 500GB HDD ( 2012) - Silver","KSh 25,499","KSh 28,000",9%,computing
"HP 14s-Intel Celeron-8GB RAM+512GB SSD-14""-Windows 11-Silver (1YR WRTY)","KSh 46,999","KSh 50,000",6%,computing
Phelistar 12V 1000mA AC-DC Power Adapter Adjustable Voltage,KSh 665,"KSh 1,000",34%,computing
1080P Full HD Mini VGA To HDMI Converter Adapter,KSh 879,"KSh 1,600",45%,computing
"USB C To Printer Cable USB Type C To Type B Compatible With MIDI,Printers",KSh 738,"KSh 1,038",29%,computing
"Lenovo Brand New IdeaPad 3 Celeron 4GB 1TB Windows 11 /1415.6"" Display","KSh 38,000","KSh 47,000",19%,computing
"HP ProBook X360 11 G2 core i5 8GB 256GB SSD 7th generation, 11.6 Inches Touchscreen 2 in 1 refurbished laptop","KSh 24,999","KSh 30,000",17%,computing
HP 64GB V250W FlashDisk With Clip -Silver,"KSh 1,030","KSh 1,040",1%,computing
HDMI TO VGA Converter Adapter,KSh 541,KSh 850,36%,computing
"HP Adapter Elitebook  Folio 9470m   Adapter  Charger,  Big Pin - Compete With Power Cable .","KSh 1,299","KSh 1,759",26%,computing
HP 05A LaserJet Toner Cartridge (CE205A),"KSh 1,999","KSh 4,000",50%,computing
USB Console Cable USB To RJ45 Cable,KSh 509,"KSh 1,000",49%,computing
Wireless Mini Keyboard With Mouse Touchpad And Back-light For Android Box/ Smart TV/ Laptop - Black,KSh 999,"KSh 1,700",41%,computing
"Acer Laptop AC Adapter Charger - 19V, 3.42A",KSh 969,"KSh 1,800",46%,computing
HP Refurbrished amd 4th gen 4gb RAM 500GB HDD WINDOWS 10 PRO INSTALLED AND ACTIVATED,"KSh 6,800","KSh 9,000",24%,computing
HP 32GB V250W Flash Disk Drive-silver,KSh 680,KSh 900,24%,computing
Backlit LED  Keyboard Mouse Combos Notebook Desktop Computer  Gaming Keyboards,"KSh 2,099","KSh 3,000",30%,computing
Advance Original 64GB Flash Disk -Silver,KSh 840,"KSh 1,380",39%,computing
"Transcend External Hard Drive - 4TB - USB 3.0, (1YR WRTY)","KSh 21,500","KSh 43,000",50%,computing
DDR3 8GB Laptop Ram Memory 1600Mhz PC3-12800 1.3,"KSh 4,500","KSh 7,000",36%,computing
Mini WiFi  300Mbps Wireless,"KSh 1,814","KSh 2,540",29%,computing
"HP Refurbished Elitebook 840 Core I5, 16GB RAM 1TB HDD -14"", Black, 6 Months WRTY","KSh 26,000","KSh 80,000",68%,computing
Samsung 8GB PC3L-12800S-DDR3 Sodimm Laptop Memory RAM,"KSh 3,899","KSh 5,000",22%,computing
Kinbar    Home And Office Padlock With Alarm,"KSh 2,100","KSh 3,000",30%,computing
Garnier Even & Matte Vitamin C Protection Cream SPF30,"KSh 1,275","KSh 1,500",15%,computing
HP 61 Black Original Ink Cartridge,"KSh 3,000","KSh 3,500",14%,computing
Toshiba Slim Laptop Internal Hard Disk 500GB,"KSh 1,700","KSh 2,500",32%,computing
Tecno 4G Portable Mifi TR109,"KSh 5,599","KSh 8,000",30%,computing
RJ45 CAT6 Network Connector Single Coupler Plug Ethernet Port.,KSh 326,KSh 600,46%,computing
USB Wifi Adapter Wifi Dongle 300mbps,KSh 645,"KSh 1,200",46%,computing
Buckler  Padlock-Hardened Antic Gold 70MM.,"KSh 1,550","KSh 2,000",23%,computing
HP 620 Laptop Charger With Free Power Cable,"KSh 1,044","KSh 1,700",39%,computing
Epson EcoTank L4260 A4 Wi-Fi Duplex (All-in-One) Ink Tank Printer (1YR WRTY),"KSh 58,999","KSh 66,000",11%,computing
"tenda F3 300Mbps Wireless WiFi Router Wi-Fi Repeater With 1WAN 3LAN Ports, Perfect for Small & Medium House","KSh 3,999","KSh 7,499",47%,computing
2K HD USB Webcam With Microphone And Speaker,"KSh 2,800","KSh 4,500",38%,computing
Logitech M185 Wireless Mouse - Plug And Play,KSh 950,"KSh 1,500",37%,computing
Lenovo Refurbished THINKPAD T480  Intel Core i5-8th Gen 16GB RAM 512GB SSD + FREE WIRELESS RECHARGEABLE MOUSE,"KSh 34,999","KSh 45,000",22%,computing
HP Elitebook 8440p 8460p 8470p 8560p Charger,KSh 925,"KSh 1,500",38%,computing
XIAOMI Mi Router 4A,"KSh 3,099","KSh 4,499",31%,computing
"Apple Refurbished MacBook Pro 13"" intel Core I5 8GB RAM, 500GB HDD ( 2012) 2.5GHz- Silver","KSh 25,499","KSh 33,000",23%,computing
"Apple  MacBook Pro 13""- Core I5 -16GB RAM, 256GB SSD (2012) Laptop -Silver Refurbished","KSh 33,000","KSh 45,000",27%,computing
HP Refurbished Elitebook 1030 G3 Core I7 16GB RAM 512GB SSD X360 8th Gen 2-In-1 Convertible 13.3 Touchscreen FHD (1920&times;1080) Business Laptop +Bag (6 Month WRTY),"KSh 61,990","KSh 70,000",11%,computing
Bebe KIDS STUDY TABLETS 64GB/4GB WITH RUBBER COVER,"KSh 6,599","KSh 8,800",25%,computing
Mouse Pad Customized Psalms 46:5,KSh 450,KSh 599,25%,computing
"T-WOLF 60% Wired Mechanical Gaming Keyboard Blue Switches With Hot Swapping, Customizable","KSh 4,560","KSh 6,000",24%,computing
High Performance Memory Card -32GB-black+Free Gift,KSh 590,"KSh 1,000",41%,computing
TP Link  300 Mbps Mini Wireless N USB Adapter / Dongle TL-WN823N Wi-Fi,"KSh 1,399","KSh 2,500",44%,computing
LASA Vojo Data Charging Cable 1.2m Cable With Micro USB - Orange,KSh 295,KSh 550,46%,computing
"HP ProBook X360 11 G1 , Intel Pentium, 4 GB RAM, 128 GB SSD, 11.6 inch HD Convertible Screen Touchscreen + Free Wireless rechargeable mouse","KSh 15,999","KSh 25,000",36%,computing
Mini Display Port to HDMI Adapter Cable For MacBook Pro & iMac Thunderbolt DP,KSh 997,"KSh 1,900",48%,computing
"Toshiba 32 GB Flash Disk+Extra Memory Card 16 GB,BT P47,OTG Cable","KSh 1,750","KSh 1,900",8%,computing
Canon Pixma TS3440 All In One Wireless Printer,"KSh 13,300","KSh 14,500",8%,computing
HP Refurbished EliteDesk 800 G1 Core I5 8GB RAM 500GB HDD 3.2GHz SFF CPU Keyboard + Mouse,"KSh 15,999","KSh 30,000",47%,computing
HP V250W 16 GB High Speed Usb Flash Disk Drive 16GB With Smartphone OTG Cable,KSh 650,"KSh 1,000",35%,computing
"TYPE C 5 IN 1 WITH USB 3.0,HDMI,PD &ETHERNET PORTS","KSh 2,445","KSh 3,800",36%,computing
915 Generation SFP Module RJ45 Switch Gbic 10/100/1000 Connector,KSh 816,"KSh 1,632",50%,computing
4G LTE Mobile WiFi Portable WiFi Hotspot 150Mbps MiFi With SIM Card Slot,"KSh 2,999","KSh 3,999",25%,computing
Kids Shape Sorter Toy Wooden Montessori Pull Along Car Matching Blocks Box Baby Intelligence Educational Toys For Children's,"KSh 3,832","KSh 6,598",42%,computing
Type USB-C To 3.5mm Jack Adapter For Earphone,KSh 700,"KSh 1,400",50%,computing
HP EliteBook 840 G6 Intel Core i5 8th Gen 16GB RAM 256GB SSD 14 Inches FHD Display REFURBISHED,"KSh 32,000","KSh 38,000",16%,computing
"HP  Refurbished Elitebook 840 G5 8th Generation Core I5, 8GB RAM, 256GB SSD -14"" inches screen display windows 10 pro installed and activated plus complete charger","KSh 33,000","KSh 40,000",18%,computing
"Lenovo Refurbished  ThinkPad X131e 8GB RAM 320GB HARD DISK 12.5"" Intel Celeron.","KSh 16,500","KSh 19,000",13%,computing
Mini 5-pin USB To USB 2.0 AF OTG Adapter Cable,KSh 299,KSh 427,30%,computing
"Lenovo Laptop ThinkPad T470s Charger  , 20V 3.25A USB Charger Complete With Power Cable","KSh 1,299","KSh 1,999",35%,computing
"Otg Connect Kit Fast Speed USB Micro OTG Connect Cable Type C For HP //Toshiba// Sandisk // Advance High Speed USB Flash Drive Disk ,& Smartphones",KSh 250,KSh 500,50%,computing
HP EliteBook 820 G3 Intel Core I7 6th Gen 8GB RAM 256GB SSD 12.5 Inches,"KSh 25,499","KSh 32,000",20%,computing
Toshiba Satellite C655 C655D C675 C850 C855 C855D C875 Laptop Charger Complete With Power Cable,"KSh 1,199","KSh 2,000",40%,computing
2TB Memory Stick U Disk Flash Drive Android Used In Mobile And Computer,"KSh 1,275","KSh 2,171",41%,computing
"tenda 300Mbps wireless router N300 Wireless Wi-Fi Router F3 300Mbps,.","KSh 2,299","KSh 4,000",43%,computing
"Lenovo ThinkPad Yoga 11e Chromebook - 11.6"" Touchscreen - 4GB RAM - HDMI, Wi-Fi, Bluetooth - Refurb, 6M WRTY","KSh 11,999","KSh 17,299",31%,computing
Sandisk Cruzer Blade Flash Disk 16GB - Black & Red,KSh 699,KSh 750,7%,computing
Foldable Portable Laptop Study Table/Stand,"KSh 2,340","KSh 3,990",41%,computing
Wireless Mini Wireless Mouse & Keyboard Combo -White,"KSh 1,499","KSh 2,000",25%,computing
Faiba 4G Portable mifi M111,"KSh 5,985","KSh 7,000",15%,computing
"HP 11 G6 EE 11.6"" LCD Chromebook - Intel Celeron N3350 Dual-core - 4GB LPDDR4 -16GB SSD - WiFi- Camera - Type C- Chrome OS - Refurb","KSh 8,999","KSh 16,999",47%,computing
2pcs OTG  Adapter Type-c USB3.0 Mobile Phone Black,KSh 500,KSh 990,49%,computing
HP 64 GB Fast FlashDisk With Clip -Silver,KSh 999,"KSh 1,899",47%,computing
WD (Western Digital) 1TB External Hard Disk Drive With 3.0 USB Cable - Black Portable HDD Storage,"KSh 6,399","KSh 10,000",36%,computing
HP 32GB Flash Disk + Free Watch & OTG Type B Cable,KSh 990,"KSh 1,500",34%,computing
Huawei 4G Faiba Safaricom Airtel Telkom CPE WiFi Router,"KSh 12,000","KSh 15,500",23%,computing
"LASA CE-LINK USB Printer & Scanner 3m Cable For HP, Canon, Epson & Samsung",KSh 500,KSh 960,48%,computing
"HP SUPER SLIM Refurbished HP EliteBook Folio 9480m, 14"" Intel Core I7 8GB RAM/ 1 TB HDD","KSh 29,999","KSh 54,000",44%,computing
"10pcs RJ45 CAT5 ,CAT6 Ethernet Network Connector",KSh 257,KSh 297,13%,computing
"Logitech2  C505 Webcam - 720p HD External USB Camera for Desktop or Laptop with Long-Range Microphone, Compatible with PC or Mac","KSh 5,998","KSh 79,999",93%,computing
Smartphone Original High Speed Memory Card 128GB + Metallic USB Flash Disk 16GB,"KSh 2,080","KSh 3,400",39%,computing
"DELL  Latitude E7240 Core I5, 8GB Ram, 256GB Ssd 12.5” Refurbished, 6 Months WRTY","KSh 23,000","KSh 30,000",23%,computing
Dahua 512GB 2.5 Inch Internal Laptop SSD,"KSh 5,200","KSh 6,500",20%,computing
Lenovo Laptop Thinkpad X1 Carbon Charger 20V 3.25A 65W USB Pin,KSh 995,"KSh 1,700",41%,computing
Battery For HP 620 HP ProBook 4520s 4525S 4425s 4420s 4320s,"KSh 2,499","KSh 3,500",29%,computing
"HP  Refurbished Elitebook 840 G3 6th Gen , Core I7, 8GB RAM- SSD 256GB -14"", Silver","KSh 25,299","KSh 35,999",30%,computing
HP Laptop Battery For Hp Elitebook Folio 9470 9470m 9480m,"KSh 4,263","KSh 8,800",52%,computing
HP LA2405wg 24 Inch (1920 X 1200) 16:10 Widescreen LCD Refurbished Monitor,"KSh 9,999","KSh 14,999",33%,computing
"Wireless Smart Tv, Android Wireless Keyboard + Mouse- White","KSh 1,489","KSh 2,500",40%,computing
915 Generation 4G MiFi Pocket WiFi Router 150Mbps WiFi Modem Car Mobile Wifi Wireless Hotspot with Sim Card Slot Wireless MiFi,"KSh 2,256","KSh 4,512",50%,computing
SATA CABLE USB SATA CABLE HARD DISK CABLE USB2.0,KSh 649,KSh 849,24%,computing
OTEETO STUDENTS/ADULTS 8GB/256GB NOTEBOOK TABLET 6000MAH 5G SIMCARD SLOT,"KSh 15,499","KSh 19,399",20%,computing
HP Lenovo ThinkPad Yoga 370 X360 Convertible Intel Core I5 7th Gen 8GB RAM 256GB SSD 13.3 Inches FHD Multi-Touch Display With ThinkPad Stylus Pen-Refurbished,"KSh 34,500","KSh 37,000",7%,computing
"Laptop Portable Desktop Laptop PHONE TABLET Holder Riser For Desk And Bed, 6-Levels Angles Adjustable Height Notebook Mount, ABS/Plastic& Containing Metals Stable PC Riser For Laptops & Tablets",KSh 990,"KSh 1,499",34%,computing
2.5 SATA TO USB HARDISK CASING Enclosure,KSh 519,"KSh 1,000",48%,computing
Modio KIDS STUDY TABLET 256GB/6GB 4000MAH 5G WITH SILICONE COVER AND TOOCH PEN,"KSh 8,950","KSh 10,999",19%,computing
24cm Full HD 1080P HDMI To VGA + Audio Output Cable For Computer / DVD / Digital Set-top Box / Laptop / Mobile Phone / Media Player(Black),KSh 561,KSh 808,31%,computing
"Laptop Desktop HardDrive Disk External Casing +BONUS Bluetooth Earbuds,  Watch","KSh 1,400","KSh 1,600",13%,computing
Full HD 1080P HDMI To VGA And Audio Adapter For HDTV / Monitor / Projector(Black),KSh 599,KSh 899,33%,computing
USB Wifi Adapter Wifi Dongle Wireless Wifi Antenna,KSh 649,"KSh 1,080",40%,computing
Mini WIRELESS KEYBOARD WITH TOUCH PAD AND BACKLIGHT,KSh 999,"KSh 1,600",38%,computing
"HP SUPER SLIM Refurbished HP EliteBook Folio 9480m, 14"" Intel Core I5 4GB RAM/ 500GB HDD","KSh 22,999","KSh 45,000",49%,computing
Laptop Skin Cover Sticker for Laptop Up-to 17'' Decal.,"KSh 622 - KSh 1,396","KSh 1,000 - KSh 2,400",42%,computing
"HP Elitebook 840 G4 Intel Core I7 7Th Gen,16GB Ram,512GB SSD-Refurbished, 6 Months WRTY","KSh 40,000","KSh 60,000",33%,computing
HDMI To AV/3RCA TV Audio Video Cable HDMI To AV/3RCA,KSh 499,KSh 712,30%,computing
"Lenovo  Thinkpad X280 Intel Core I5 8th Gen- 8GB RAM 256GB SSD, Refurbished 13'' Black","KSh 27,999","KSh 35,000",20%,computing
tenda N300 300 Mbps Wireless WiFi Router,"KSh 2,099","KSh 3,600",42%,computing
Memory Stick Pro Duo Card Reader Micro-SD TF to MS Pro Card Adapter Single Dual Slots for Sony PSP Gamepad for PSP Card,KSh 379,KSh 714,47%,computing
Laptop Battery For HP JC04 14-bs099nia 919700-850,"KSh 2,469","KSh 3,500",29%,computing
Graphics Card GTX1050TI,"KSh 9,546","KSh 19,092",50%,computing
Logitech G304 LIGHTSPEED Wireless Gaming Mouse,"KSh 1,500","KSh 2,000",25%,computing
Advance USB Flash Disk Smart  64GB + Free Invictus Perfume,KSh 900,"KSh 1,200",25%,computing
Mouse 2.4g Bluetooth-Compatibl For Mac Book Air For Mouse,"KSh 1,517","KSh 2,235",32%,computing
P47 Bluetooth Wireless Headphones -blue,KSh 700,"KSh 1,000",30%,computing
"Professional RJ45 RJ11 RJ12 LAN Network Crimping Tool, UTP LAN Cable Tester and Portable Cable Wire Stripper","KSh 2,250","KSh 3,250",31%,computing
2022 Fashion Mens Watches Luxury Men Stainless Steel Quartz Wristwatch Man Casual Leather Watch Luminous Clock relogio masculino,"KSh 1,332 - KSh 1,628","KSh 2,220 - KSh 2,812",42%,computing
1TB/1000GB Lenovo High-Capacity Micro TF/SD Memory Card – Expand Your Digital Storage,"KSh 1,999","KSh 10,000",80%,computing
HP REFURBISHED Elitedesk 705 G3 Small Form Factor Business PC AMD 8 GB RAM 500 HDD,"KSh 10,500","KSh 17,499",40%,computing
"HP Refurbished Elitebook 840 G5 8th Generation Core I5, 8GB RAM, 256GB SSD Touchscreen -14"" (6 Months WRTY)","KSh 38,999","KSh 49,999",22%,computing
Advance 64GB Flash Disk - (Silver)+ Free Modern GIFTS (OTG cable + BT eaphone + Classic watch),"KSh 1,250","KSh 1,800",31%,computing
"HP Refurbished EliteBook 840 G5 Core I5 16GB 512GB SSD 14"" Touchscreen 8th Gen Quad Core Slim Laptop","KSh 48,499","KSh 57,000",15%,computing
"HP Refurbished ProBook X360 11e G5 4GB 192GB SSD Intel Celeron 2-in-1 11.6"" Touchscreen Ultraslim Laptop + Mouse","KSh 17,500","KSh 22,000",20%,computing
Advance Media USB 2.0 64GB FLASH DISK,"KSh 1,899","KSh 2,299",17%,computing
"Epson Eco Ink Tank Printer M2170 A4 3-in-1 AIO Mono Chrome Wifi Duplex Printer - Black, (1YR WRTY)","KSh 61,174","KSh 122,348",50%,computing
300Mbps In-Wall Wireless WiFi Router AP Access Point,"KSh 2,977","KSh 5,953",50%,computing
Handboss  Universal Foam Cleaning Agent  cleaning expert,KSh 405,KSh 789,49%,computing
915 Generation Portable 4G MiFi 4G WiFi Router WiFi Modem 150Mbps Car Mobile Wifi Wireless Hotspot Wireless MiFi with Sim Card Slot,"KSh 2,397","KSh 4,795",50%,computing
"WD Elements 2.5"" USB 3.0 Laptop External Hard Disk Drive Case Casing",KSh 949,"KSh 1,700",44%,computing
ZELOTES F-36 Wireless Vertical 2.4G Bluetooth Mouse Full Color Light,"KSh 2,306","KSh 3,923",41%,computing
"Lenovo Think Centre M700 Desktop, Intel Core I5 6th Gen , 4gb RAM, 500GB HDD, Small Form Factor, Black ,REFURBISHED","KSh 11,999","KSh 15,000",20%,computing
"Lenovo Thinkpad X280 Intel Core I5 8th Gen- 8GB RAM 512GB SSD, Refurbished 13'' Black Windows 11 64bit + Free wireless mouse","KSh 28,999","KSh 40,000",28%,computing
1TB External hard disk- Black,"KSh 5,300","KSh 9,000",41%,computing
"Lexar NS100 2.5"" SATA 512gb Internal SSD","KSh 6,400","KSh 7,500",15%,computing
Alfa   WiFi Receiver / WiFi Adapter - Daul High Gain Antaenna - IEE802.11n - 300 Mpbs,"KSh 1,999","KSh 2,000",1%,computing
"External 2.5 SATA To USB Hard Disk Drive Casing +HDMI Cable ,Plug Power Adaptor",KSh 785,"KSh 1,100",29%,computing
USB 2.0 .7.1 External USB Audio Sound Card Adapter,"KSh 1,050","KSh 1,400",25%,computing
Kaspersky Antivirus 3+1 (2022),"KSh 4,999","KSh 5,999",17%,computing
USB WiFi Dongle 150Mbps 802.11N Network Card Wireless-Black,KSh 276,KSh 452,39%,computing
Multiple Power MP 709 Standard Charger 4 Slots For AA AAA 9V,KSh 749,"KSh 1,000",25%,computing
32GB Memory Card 32 GB High Speed For Smartphones,KSh 580,"KSh 1,100",47%,computing
"Apple Refurbished 16GB RAM, 1TB HDD MacBook Pro 13"" (2012) Core I5 2.5GHz Laptop - Silver, MacBook Operating System Installed, Microsoft Office Installed + Free Wireless  Mouse","KSh 43,999","KSh 58,000",24%,computing
HP 15 19.5v 3.33A Blue Pin Charger Complete With Power Cable,"KSh 1,097","KSh 1,800",39%,computing
M.2 NGFF SSD M.2 SATA3 1TB Solid State Drive for Desktop PC,"KSh 2,466","KSh 4,740",48%,computing
Backlit Gaming Keyboard RGB Multicolors Wired Gaming Keyboard With Mouse,"KSh 1,499","KSh 2,499",40%,computing
Professional SATA to USB 3.0 Cable Adapter 2.5 inch SSD Hard Drive Expanding Connector,KSh 599,KSh 856,30%,computing
"HP EliteBook 1030 G3 Refurbished 8th Gen Intel Core I7 16GB RAM, 512GB SSD, 14.0″Silver","KSh 60,000","KSh 75,000",20%,computing
"Memory Card 64 GB & SD Adaptor For BT Card Speakers, Camera, Tablets",KSh 750,"KSh 1,280",41%,computing
Lenovo Thinkpad Yoga 11e x360 Intel Core i5 7th Gen 8GB RAM 256GB SSD 11.6 Touchscreen Convertible Laptop + Mouse (6M WRTY),"KSh 27,900","KSh 35,000",20%,computing
USB Wifi Wireless Adapter Wifi Dongle,KSh 637,"KSh 1,200",47%,computing
G101 Keyboard + Triangle Throne +S1 Set Of Mobile Game Peripherals,"KSh 1,972","KSh 3,200",38%,computing
Adjustable Micro-Needling Derma Stamp Roller Skin Care Tool,"KSh 1,078","KSh 1,941",44%,computing
M.2 SATA Adapter M2 to SATA Adapter M.2 to SATA Adapter M.2,KSh 386,KSh 772,50%,computing
Sandisk  Ultra Lux USB 3.1 Flash Drive / Flash Disk 128 GB,"KSh 1,970","KSh 2,599",24%,computing
High Speed Memory Card 128GB  Black+ Value Gifts,"KSh 2,200","KSh 3,500",37%,computing
"12"" 14"" 15"" LAPTOP Sleeve Pouch Bag",KSh 600 - KSh 900,"KSh 800 - KSh 1,600",50%,computing
Logitech M220 SILENT WIRELESS MOUSE,"KSh 3,500","KSh 4,500",22%,computing
Mini Keyboard/Remote/Air Mouse Keyboard TV Android/Windows/Mac OS/Linux,"KSh 1,457","KSh 2,057",29%,computing
Fancy Laptop Sleeve/Pouch 13 Inch,KSh 499,KSh 900,45%,computing
HP REFURBISHED LCD MONITOR 24 WIDE,"KSh 11,050","KSh 13,500",18%,computing
"Lenovo Thinkpad X250 Intel Core I5, 8GB-256GB SSD, 12.5'' Black- Renewed","KSh 16,496","KSh 29,000",43%,computing
HP EliteBook 840 G3 8GB 256GB SSD 14 Inch Core I5 6th Gen Win 10 Ultraslim Laptop Silver (6M WRTY),"KSh 27,390","KSh 38,000",28%,computing
Bebe KIDS STUDY TABLETS 64GB/4GB+SILICONE COVER,"KSh 6,599","KSh 7,500",12%,computing
"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 500HDD, Black- 12.5""","KSh 17,999","KSh 29,666",39%,computing
"HP Metal FlashDisk Drive 32GB USB For Laptop ,Desktop, Computer ,TV  + OTG Cable",KSh 749,"KSh 1,000",25%,computing
HP POWER Hp PROBOOK 11 X360/TOUCHSCREEN/4GB/128SSD/INTEL,"KSh 16,999","KSh 29,000",41%,computing
"Logitech M220 SILENT WIRELESS MOUSE, Silent Touch Technology","KSh 1,299","KSh 3,000",57%,computing
915 Generation Portable 4G MiFi 4G WiFi Router WiFi Modem 150Mbps Car Mobile Wifi Wireless Hotspot Wireless MiFi with Sim Card Slot,"KSh 2,397","KSh 4,795",50%,computing
New USB Light Led Light Plug Lamp White,KSh 236,KSh 472,50%,computing
"WD  (Western Digital) 1TB External Solid State Drive (SSD) with Usb 3.0 Cable compatible with Pc, XBOX, Playstation","KSh 11,099","KSh 13,000",15%,computing
